0000. FEN: r1b1k2Q/bp1p1p2/n1pB1P1p/8/Pp6/1q2P3/2PP3P/RN2KBNR b KQ -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
0007. FEN: N4Q1k/8/8/8/4B3/1p3K2/7p/8 b - -  | Depth: 4 | Expected: 0 | Result: 0 [PASSED]
0007. FEN: N4Q1k/8/8/8/4B3/1p3K2/7p/8 b - -  | Depth: 5 | Expected: 0 | Result: 0 [PASSED]
0008. FEN: 8/7p/2k4P/8/8/5q2/1r6/4b1K1 w - -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
0008. FEN: 8/7p/2k4P/8/8/5q2/1r6/4b1K1 w - -  | Depth: 2 | Expected: 0 | Result: 0 [PASSED]
0008. FEN: 8/7p/2k4P/8/8/5q2/1r6/4b1K1 w - -  | Depth: 3 | Expected: 0 | Result: 0 [PASSED]
0008. FEN: 8/7p/2k4P/8/8/5q2/1r6/4b1K1 w - -  | Depth: 4 | Expected: 0 | Result: 0 [PASSED]
0008. FEN: 8/7p/2k4P/8/8/5q2/1r6/4b1K1 w - -  | Depth: 5 | Expected: 0 | Result: 0 [PASSED]
0009. FEN: K7/8/1P6/8/7k/8/8/8 b - -  | Depth: 1 | Expected: 5 | Result: 5 [PASSED]
0009. FEN: K7/8/1P6/8/7k/8/8/8 b - -  | Depth: 2 | Expected: 20 | Result: 20 [PASSED]
0009. FEN: K7/8/1P6/8/7k/8/8/8 b - -  | Depth: 3 | Expected: 136 | Result: 136 [PASSED]
0009. FEN: K7/8/1P6/8/7k/8/8/8 b - -  | Depth: 4 | Expected: 816 | Result: 816 [PASSED]
0009. FEN: K7/8/1P6/8/7k/8/8/8 b - -  | Depth: 5 | Expected: 5502 | Result: 5502 [PASSED]
0010. FEN: 8/K7/8/1P6/8/8/8/6k1 b - -  | Depth: 1 | Expected: 5 | Result: 5 [PASSED]
0010. FEN: 8/K7/8/1P6/8/8/8/6k1 b - -  | Depth: 2 | Expected: 30 | Result: 30 [PASSED]
0010. FEN: 8/K7/8/1P6/8/8/8/6k1 b - -  | Depth: 3 | Expected: 174 | Result: 174 [PASSED]
0010. FEN: 8/K7/8/1P6/8/8/8/6k1 b - -  | Depth: 4 | Expected: 1044 | Result: 1044 [PASSED]
0010. FEN: 8/K7/8/1P6/8/8/8/6k1 b - -  | Depth: 5 | Expected: 6587 | Result: 6587 [PASSED]
0011. FEN: 8/k7/2B1p3/1K2P2p/4P2P/8/8/5N2 b - -  | Depth: 1 | Expected: 1 | Result: 1 [PASSED]
0011. FEN: 8/k7/2B1p3/1K2P2p/4P2P/8/8/5N2 b - -  | Depth: 2 | Expected: 16 | Result: 16 [PASSED]
0011. FEN: 8/k7/2B1p3/1K2P2p/4P2P/8/8/5N2 b - -  | Depth: 3 | Expected: 50 | Result: 50 [PASSED]
0011. FEN: 8/k7/2B1p3/1K2P2p/4P2P/8/8/5N2 b - -  | Depth: 4 | Expected: 782 | Result: 782 [PASSED]
0011. FEN: 8/k7/2B1p3/1K2P2p/4P2P/8/8/5N2 b - -  | Depth: 5 | Expected: 2796 | Result: 2796 [PASSED]
0012. FEN: 8/K7/1P6/8/8/7k/8/8 w - -  | Depth: 1 | Expected: 5 | Result: 5 [PASSED]
0012. FEN: 8/K7/1P6/8/8/7k/8/8 w - -  | Depth: 2 | Expected: 25 | Result: 25 [PASSED]
0012. FEN: 8/K7/1P6/8/8/7k/8/8 w - -  | Depth: 3 | Expected: 150 | Result: 150 [PASSED]
0012. FEN: 8/K7/1P6/8/8/7k/8/8 w - -  | Depth: 4 | Expected: 1004 | Result: 1004 [PASSED]
0012. FEN: 8/K7/1P6/8/8/7k/8/8 w - -  | Depth: 5 | Expected: 7242 | Result: 7242 [PASSED]
0013. FEN: 8/8/4K1k1/8/8/8/8/8 b - -  | Depth: 1 | Expected: 5 | Result: 5 [PASSED]
0013. FEN: 8/8/4K1k1/8/8/8/8/8 b - -  | Depth: 2 | Expected: 36 | Result: 36 [PASSED]
0013. FEN: 8/8/4K1k1/8/8/8/8/8 b - -  | Depth: 3 | Expected: 185 | Result: 185 [PASSED]
0013. FEN: 8/8/4K1k1/8/8/8/8/8 b - -  | Depth: 4 | Expected: 1344 | Result: 1344 [PASSED]
0013. FEN: 8/8/4K1k1/8/8/8/8/8 b - -  | Depth: 5 | Expected: 7488 | Result: 7488 [PASSED]
0014. FEN: 1K6/8/1P4k1/8/8/8/8/8 w - -  | Depth: 1 | Expected: 6 | Result: 6 [PASSED]
0014. FEN: 1K6/8/1P4k1/8/8/8/8/8 w - -  | Depth: 2 | Expected: 48 | Result: 48 [PASSED]
0014. FEN: 1K6/8/1P4k1/8/8/8/8/8 w - -  | Depth: 3 | Expected: 272 | Result: 272 [PASSED]
0014. FEN: 1K6/8/1P4k1/8/8/8/8/8 w - -  | Depth: 4 | Expected: 1845 | Result: 1845 [PASSED]
0014. FEN: 1K6/8/1P4k1/8/8/8/8/8 w - -  | Depth: 5 | Expected: 12468 | Result: 12468 [PASSED]
0015. FEN: 8/6k1/8/4K3/8/8/8/8 w - -  | Depth: 1 | Expected: 7 | Result: 7 [PASSED]
0015. FEN: 8/6k1/8/4K3/8/8/8/8 w - -  | Depth: 2 | Expected: 52 | Result: 52 [PASSED]
0015. FEN: 8/6k1/8/4K3/8/8/8/8 w - -  | Depth: 3 | Expected: 385 | Result: 385 [PASSED]
0015. FEN: 8/6k1/8/4K3/8/8/8/8 w - -  | Depth: 4 | Expected: 1994 | Result: 1994 [PASSED]
0015. FEN: 8/6k1/8/4K3/8/8/8/8 w - -  | Depth: 5 | Expected: 14904 | Result: 14904 [PASSED]
0016. FEN: 8/1K6/1P3k2/8/8/8/8/8 b - -  | Depth: 1 | Expected: 8 | Result: 8 [PASSED]
0016. FEN: 8/1K6/1P3k2/8/8/8/8/8 b - -  | Depth: 2 | Expected: 56 | Result: 56 [PASSED]
0016. FEN: 8/1K6/1P3k2/8/8/8/8/8 b - -  | Depth: 3 | Expected: 432 | Result: 432 [PASSED]
0016. FEN: 8/1K6/1P3k2/8/8/8/8/8 b - -  | Depth: 4 | Expected: 2487 | Result: 2487 [PASSED]
0016. FEN: 8/1K6/1P3k2/8/8/8/8/8 b - -  | Depth: 5 | Expected: 16989 | Result: 16989 [PASSED]
0017. FEN: k7/3B4/4p3/K3P2p/4P2P/8/7N/8 b - -  | Depth: 1 | Expected: 3 | Result: 3 [PASSED]
0017. FEN: k7/3B4/4p3/K3P2p/4P2P/8/7N/8 b - -  | Depth: 2 | Expected: 38 | Result: 38 [PASSED]
0017. FEN: k7/3B4/4p3/K3P2p/4P2P/8/7N/8 b - -  | Depth: 3 | Expected: 152 | Result: 152 [PASSED]
0017. FEN: k7/3B4/4p3/K3P2p/4P2P/8/7N/8 b - -  | Depth: 4 | Expected: 2171 | Result: 2171 [PASSED]
0017. FEN: k7/3B4/4p3/K3P2p/4P2P/8/7N/8 b - -  | Depth: 5 | Expected: 8342 | Result: 8342 [PASSED]
0018. FEN: 8/8/2k5/5b2/8/8/5r2/4n2K w - -  | Depth: 1 | Expected: 1 | Result: 1 [PASSED]
0018. FEN: 8/8/2k5/5b2/8/8/5r2/4n2K w - -  | Depth: 2 | Expected: 33 | Result: 33 [PASSED]
0018. FEN: 8/8/2k5/5b2/8/8/5r2/4n2K w - -  | Depth: 3 | Expected: 65 | Result: 65 [PASSED]
0018. FEN: 8/8/2k5/5b2/8/8/5r2/4n2K w - -  | Depth: 4 | Expected: 1905 | Result: 1905 [PASSED]
0018. FEN: 8/8/2k5/5b2/8/8/5r2/4n2K w - -  | Depth: 5 | Expected: 4927 | Result: 4927 [PASSED]
0019. FEN: 8/k7/B3p3/2K1P2p/4P2P/8/3N4/8 b - -  | Depth: 1 | Expected: 3 | Result: 3 [PASSED]
0019. FEN: 8/k7/B3p3/2K1P2p/4P2P/8/3N4/8 b - -  | Depth: 2 | Expected: 48 | Result: 48 [PASSED]
0019. FEN: 8/k7/B3p3/2K1P2p/4P2P/8/3N4/8 b - -  | Depth: 3 | Expected: 139 | Result: 139 [PASSED]
0019. FEN: 8/k7/B3p3/2K1P2p/4P2P/8/3N4/8 b - -  | Depth: 4 | Expected: 2134 | Result: 2134 [PASSED]
0019. FEN: 8/k7/B3p3/2K1P2p/4P2P/8/3N4/8 b - -  | Depth: 5 | Expected: 8160 | Result: 8160 [PASSED]
0020. FEN: 4N2k/8/8/2P5/B7/8/K7/8 b - -  | Depth: 1 | Expected: 2 | Result: 2 [PASSED]
0020. FEN: 4N2k/8/8/2P5/B7/8/K7/8 b - -  | Depth: 2 | Expected: 32 | Result: 32 [PASSED]
0020. FEN: 4N2k/8/8/2P5/B7/8/K7/8 b - -  | Depth: 3 | Expected: 129 | Result: 129 [PASSED]
0020. FEN: 4N2k/8/8/2P5/B7/8/K7/8 b - -  | Depth: 4 | Expected: 2245 | Result: 2245 [PASSED]
0020. FEN: 4N2k/8/8/2P5/B7/8/K7/8 b - -  | Depth: 5 | Expected: 8944 | Result: 8944 [PASSED]
0021. FEN: 1k6/8/2B1p3/K3P2p/4P2P/8/7N/8 w - -  | Depth: 1 | Expected: 15 | Result: 15 [PASSED]
0021. FEN: 1k6/8/2B1p3/K3P2p/4P2P/8/7N/8 w - -  | Depth: 2 | Expected: 52 | Result: 52 [PASSED]
0021. FEN: 1k6/8/2B1p3/K3P2p/4P2P/8/7N/8 w - -  | Depth: 3 | Expected: 717 | Result: 717 [PASSED]
0021. FEN: 1k6/8/2B1p3/K3P2p/4P2P/8/7N/8 w - -  | Depth: 4 | Expected: 2717 | Result: 2717 [PASSED]
0021. FEN: 1k6/8/2B1p3/K3P2p/4P2P/8/7N/8 w - -  | Depth: 5 | Expected: 38705 | Result: 38705 [PASSED]
0022. FEN: 8/k7/2B1p3/4P2p/K3P2P/8/8/5N2 w - -  | Depth: 1 | Expected: 15 | Result: 15 [PASSED]
0022. FEN: 8/k7/2B1p3/4P2p/K3P2P/8/8/5N2 w - -  | Depth: 2 | Expected: 48 | Result: 48 [PASSED]
0022. FEN: 8/k7/2B1p3/4P2p/K3P2P/8/8/5N2 w - -  | Depth: 3 | Expected: 695 | Result: 695 [PASSED]
0022. FEN: 8/k7/2B1p3/4P2p/K3P2P/8/8/5N2 w - -  | Depth: 4 | Expected: 2824 | Result: 2824 [PASSED]
0022. FEN: 8/k7/2B1p3/4P2p/K3P2P/8/8/5N2 w - -  | Depth: 5 | Expected: 42897 | Result: 42897 [PASSED]
0023. FEN: 8/5k2/8/4P2P/8/8/8/N4K2 b - -  | Depth: 1 | Expected: 6 | Result: 6 [PASSED]
0023. FEN: 8/5k2/8/4P2P/8/8/8/N4K2 b - -  | Depth: 2 | Expected: 53 | Result: 53 [PASSED]
0023. FEN: 8/5k2/8/4P2P/8/8/8/N4K2 b - -  | Depth: 3 | Expected: 286 | Result: 286 [PASSED]
0023. FEN: 8/5k2/8/4P2P/8/8/8/N4K2 b - -  | Depth: 4 | Expected: 3105 | Result: 3105 [PASSED]
0023. FEN: 8/5k2/8/4P2P/8/8/8/N4K2 b - -  | Depth: 5 | Expected: 16640 | Result: 16640 [PASSED]
0024. FEN: 8/8/7k/KP6/8/6N1/8/8 b - -  | Depth: 1 | Expected: 4 | Result: 4 [PASSED]
0024. FEN: 8/8/7k/KP6/8/6N1/8/8 b - -  | Depth: 2 | Expected: 44 | Result: 44 [PASSED]
0024. FEN: 8/8/7k/KP6/8/6N1/8/8 b - -  | Depth: 3 | Expected: 281 | Result: 281 [PASSED]
0024. FEN: 8/8/7k/KP6/8/6N1/8/8 b - -  | Depth: 4 | Expected: 3066 | Result: 3066 [PASSED]
0024. FEN: 8/8/7k/KP6/8/6N1/8/8 b - -  | Depth: 5 | Expected: 17267 | Result: 17267 [PASSED]
0025. FEN: 8/8/1k2p3/1N2P2p/K3P2P/8/2B5/8 b - -  | Depth: 1 | Expected: 4 | Result: 4 [PASSED]
0025. FEN: 8/8/1k2p3/1N2P2p/K3P2P/8/2B5/8 b - -  | Depth: 2 | Expected: 54 | Result: 54 [PASSED]
0025. FEN: 8/8/1k2p3/1N2P2p/K3P2P/8/2B5/8 b - -  | Depth: 3 | Expected: 223 | Result: 223 [PASSED]
0025. FEN: 8/8/1k2p3/1N2P2p/K3P2P/8/2B5/8 b - -  | Depth: 4 | Expected: 3073 | Result: 3073 [PASSED]
0025. FEN: 8/8/1k2p3/1N2P2p/K3P2P/8/2B5/8 b - -  | Depth: 5 | Expected: 13855 | Result: 13855 [PASSED]
0026. FEN: 8/8/8/KP6/7k/8/4N3/8 w - -  | Depth: 1 | Expected: 11 | Result: 11 [PASSED]
0026. FEN: 8/8/8/KP6/7k/8/4N3/8 w - -  | Depth: 2 | Expected: 46 | Result: 46 [PASSED]
0026. FEN: 8/8/8/KP6/7k/8/4N3/8 w - -  | Depth: 3 | Expected: 514 | Result: 514 [PASSED]
0026. FEN: 8/8/8/KP6/7k/8/4N3/8 w - -  | Depth: 4 | Expected: 3080 | Result: 3080 [PASSED]
0026. FEN: 8/8/8/KP6/7k/8/4N3/8 w - -  | Depth: 5 | Expected: 35446 | Result: 35446 [PASSED]
0027. FEN: 2K5/8/8/8/k7/3p4/8/6n1 w - -  | Depth: 1 | Expected: 5 | Result: 5 [PASSED]
0027. FEN: 2K5/8/8/8/k7/3p4/8/6n1 w - -  | Depth: 2 | Expected: 45 | Result: 45 [PASSED]
0027. FEN: 2K5/8/8/8/k7/3p4/8/6n1 w - -  | Depth: 3 | Expected: 297 | Result: 297 [PASSED]
0027. FEN: 2K5/8/8/8/k7/3p4/8/6n1 w - -  | Depth: 4 | Expected: 3275 | Result: 3275 [PASSED]
0027. FEN: 2K5/8/8/8/k7/3p4/8/6n1 w - -  | Depth: 5 | Expected: 19623 | Result: 19623 [PASSED]
0028. FEN: 3n4/8/K7/5k2/8/8/8/8 b - -  | Depth: 1 | Expected: 12 | Result: 12 [PASSED]
0028. FEN: 3n4/8/K7/5k2/8/8/8/8 b - -  | Depth: 2 | Expected: 49 | Result: 49 [PASSED]
0028. FEN: 3n4/8/K7/5k2/8/8/8/8 b - -  | Depth: 3 | Expected: 617 | Result: 617 [PASSED]
0028. FEN: 3n4/8/K7/5k2/8/8/8/8 b - -  | Depth: 4 | Expected: 3568 | Result: 3568 [PASSED]
0028. FEN: 3n4/8/K7/5k2/8/8/8/8 b - -  | Depth: 5 | Expected: 44621 | Result: 44621 [PASSED]
0029. FEN: 8/8/8/1P6/1K6/7k/4N3/8 b - -  | Depth: 1 | Expected: 4 | Result: 4 [PASSED]
0029. FEN: 8/8/8/1P6/1K6/7k/4N3/8 b - -  | Depth: 2 | Expected: 56 | Result: 56 [PASSED]
0029. FEN: 8/8/8/1P6/1K6/7k/4N3/8 b - -  | Depth: 3 | Expected: 286 | Result: 286 [PASSED]
0029. FEN: 8/8/8/1P6/1K6/7k/4N3/8 b - -  | Depth: 4 | Expected: 3801 | Result: 3801 [PASSED]
0029. FEN: 8/8/8/1P6/1K6/7k/4N3/8 b - -  | Depth: 5 | Expected: 20223 | Result: 20223 [PASSED]
0030. FEN: 8/8/K7/1P6/8/8/4N1k1/8 w - -  | Depth: 1 | Expected: 11 | Result: 11 [PASSED]
0030. FEN: 8/8/K7/1P6/8/8/4N1k1/8 w - -  | Depth: 2 | Expected: 72 | Result: 72 [PASSED]
0030. FEN: 8/8/K7/1P6/8/8/4N1k1/8 w - -  | Depth: 3 | Expected: 820 | Result: 820 [PASSED]
0030. FEN: 8/8/K7/1P6/8/8/4N1k1/8 w - -  | Depth: 4 | Expected: 3933 | Result: 3933 [PASSED]
0030. FEN: 8/8/K7/1P6/8/8/4N1k1/8 w - -  | Depth: 5 | Expected: 45147 | Result: 45147 [PASSED]
0031. FEN: 7k/8/8/1p6/8/5n2/n7/3K3b w - -  | Depth: 1 | Expected: 2 | Result: 2 [PASSED]
0031. FEN: 7k/8/8/1p6/8/5n2/n7/3K3b w - -  | Depth: 2 | Expected: 32 | Result: 32 [PASSED]
0031. FEN: 7k/8/8/1p6/8/5n2/n7/3K3b w - -  | Depth: 3 | Expected: 172 | Result: 172 [PASSED]
0031. FEN: 7k/8/8/1p6/8/5n2/n7/3K3b w - -  | Depth: 4 | Expected: 3178 | Result: 3178 [PASSED]
0031. FEN: 7k/8/8/1p6/8/5n2/n7/3K3b w - -  | Depth: 5 | Expected: 13366 | Result: 13366 [PASSED]
0032. FEN: 8/8/k3p3/4P2p/K3P2P/5N2/2B5/8 w - -  | Depth: 1 | Expected: 13 | Result: 13 [PASSED]
0032. FEN: 8/8/k3p3/4P2p/K3P2P/5N2/2B5/8 w - -  | Depth: 2 | Expected: 43 | Result: 43 [PASSED]
0032. FEN: 8/8/k3p3/4P2p/K3P2P/5N2/2B5/8 w - -  | Depth: 3 | Expected: 611 | Result: 611 [PASSED]
0032. FEN: 8/8/k3p3/4P2p/K3P2P/5N2/2B5/8 w - -  | Depth: 4 | Expected: 3590 | Result: 3590 [PASSED]
0032. FEN: 8/8/k3p3/4P2p/K3P2P/5N2/2B5/8 w - -  | Depth: 5 | Expected: 53806 | Result: 53806 [PASSED]
0033. FEN: 3k4/8/5N2/8/5P2/1P5p/7P/3K4 b - -  | Depth: 1 | Expected: 3 | Result: 3 [PASSED]
0033. FEN: 3k4/8/5N2/8/5P2/1P5p/7P/3K4 b - -  | Depth: 2 | Expected: 45 | Result: 45 [PASSED]
0033. FEN: 3k4/8/5N2/8/5P2/1P5p/7P/3K4 b - -  | Depth: 3 | Expected: 266 | Result: 266 [PASSED]
0033. FEN: 3k4/8/5N2/8/5P2/1P5p/7P/3K4 b - -  | Depth: 4 | Expected: 3559 | Result: 3559 [PASSED]
0033. FEN: 3k4/8/5N2/8/5P2/1P5p/7P/3K4 b - -  | Depth: 5 | Expected: 20102 | Result: 20102 [PASSED]
0034. FEN: 7k/8/5N2/2P5/B7/8/K7/8 w - -  | Depth: 1 | Expected: 21 | Result: 21 [PASSED]
0034. FEN: 7k/8/5N2/2P5/B7/8/K7/8 w - -  | Depth: 2 | Expected: 35 | Result: 35 [PASSED]
0034. FEN: 7k/8/5N2/2P5/B7/8/K7/8 w - -  | Depth: 3 | Expected: 660 | Result: 660 [PASSED]
0034. FEN: 7k/8/5N2/2P5/B7/8/K7/8 w - -  | Depth: 4 | Expected: 3467 | Result: 3467 [PASSED]
0034. FEN: 7k/8/5N2/2P5/B7/8/K7/8 w - -  | Depth: 5 | Expected: 65068 | Result: 65068 [PASSED]
0035. FEN: 8/K7/8/8/8/1k1p4/8/6n1 b - -  | Depth: 1 | Expected: 12 | Result: 12 [PASSED]
0035. FEN: 8/K7/8/8/8/1k1p4/8/6n1 b - -  | Depth: 2 | Expected: 60 | Result: 60 [PASSED]
0035. FEN: 8/K7/8/8/8/1k1p4/8/6n1 b - -  | Depth: 3 | Expected: 708 | Result: 708 [PASSED]
0035. FEN: 8/K7/8/8/8/1k1p4/8/6n1 b - -  | Depth: 4 | Expected: 3927 | Result: 3927 [PASSED]
0035. FEN: 8/K7/8/8/8/1k1p4/8/6n1 b - -  | Depth: 5 | Expected: 49500 | Result: 49500 [PASSED]
0036. FEN: 8/k2B4/4p3/4P2p/4P2P/8/7N/K7 b - -  | Depth: 1 | Expected: 5 | Result: 5 [PASSED]
0036. FEN: 8/k2B4/4p3/4P2p/4P2P/8/7N/K7 b - -  | Depth: 2 | Expected: 60 | Result: 60 [PASSED]
0036. FEN: 8/k2B4/4p3/4P2p/4P2P/8/7N/K7 b - -  | Depth: 3 | Expected: 289 | Result: 289 [PASSED]
0036. FEN: 8/k2B4/4p3/4P2p/4P2P/8/7N/K7 b - -  | Depth: 4 | Expected: 3998 | Result: 3998 [PASSED]
0036. FEN: 8/k2B4/4p3/4P2p/4P2P/8/7N/K7 b - -  | Depth: 5 | Expected: 19738 | Result: 19738 [PASSED]
0037. FEN: 6k1/8/4P3/8/P3P3/7N/N7/6K1 w - -  | Depth: 1 | Expected: 14 | Result: 14 [PASSED]
0037. FEN: 6k1/8/4P3/8/P3P3/7N/N7/6K1 w - -  | Depth: 2 | Expected: 55 | Result: 55 [PASSED]
0037. FEN: 6k1/8/4P3/8/P3P3/7N/N7/6K1 w - -  | Depth: 3 | Expected: 853 | Result: 853 [PASSED]
0037. FEN: 6k1/8/4P3/8/P3P3/7N/N7/6K1 w - -  | Depth: 4 | Expected: 3944 | Result: 3944 [PASSED]
0037. FEN: 6k1/8/4P3/8/P3P3/7N/N7/6K1 w - -  | Depth: 5 | Expected: 65361 | Result: 65361 [PASSED]
0038. FEN: 5k2/8/4P3/8/P3P3/7N/N7/6K1 b - -  | Depth: 1 | Expected: 4 | Result: 4 [PASSED]
0038. FEN: 5k2/8/4P3/8/P3P3/7N/N7/6K1 b - -  | Depth: 2 | Expected: 55 | Result: 55 [PASSED]
0038. FEN: 5k2/8/4P3/8/P3P3/7N/N7/6K1 b - -  | Depth: 3 | Expected: 266 | Result: 266 [PASSED]
0038. FEN: 5k2/8/4P3/8/P3P3/7N/N7/6K1 b - -  | Depth: 4 | Expected: 4090 | Result: 4090 [PASSED]
0038. FEN: 5k2/8/4P3/8/P3P3/7N/N7/6K1 b - -  | Depth: 5 | Expected: 18323 | Result: 18323 [PASSED]
0039. FEN: 8/8/1k1Np3/4P2p/K3P2P/8/6B1/8 b - -  | Depth: 1 | Expected: 5 | Result: 5 [PASSED]
0039. FEN: 8/8/1k1Np3/4P2p/K3P2P/8/6B1/8 b - -  | Depth: 2 | Expected: 75 | Result: 75 [PASSED]
0039. FEN: 8/8/1k1Np3/4P2p/K3P2P/8/6B1/8 b - -  | Depth: 3 | Expected: 293 | Result: 293 [PASSED]
0039. FEN: 8/8/1k1Np3/4P2p/K3P2P/8/6B1/8 b - -  | Depth: 4 | Expected: 4335 | Result: 4335 [PASSED]
0039. FEN: 8/8/1k1Np3/4P2p/K3P2P/8/6B1/8 b - -  | Depth: 5 | Expected: 19978 | Result: 19978 [PASSED]
